Steps,Total,Answered,Expired,ExpiredPercentage,PercentageExpired1,PercentageExpired2,PercentageExpired3,PercentageExpired4,Expired1Percentage,Expired2Percentage,Expired3Percentage,Expired4Percentage,MRT,MRT1,MRT2,MRT3,MRT4,Help
100,84,79,5,5.95,0.0,0.0,60.0,40.0,0.0,0.0,15.79,14.29,10.03,9.09,10.69,10.11,10.21,"[0, 0, 0, 0, 0, 0]"
100,79,74,5,6.33,0.0,0.0,60.0,40.0,0.0,0.0,12.5,22.22,8.22,9.58,6.58,7.28,9.85,"[0, 0, 0, 0, 0, 0]"
100,93,78,15,16.13,0.0,26.67,40.0,33.33,0.0,13.33,33.33,29.41,10.86,10.7,11.56,9.42,11.16,"[0, 0, 0, 0, 0, 0]"
100,74,73,1,1.35,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14.29,8.58,8.03,8.87,9.21,8.71,"[0, 0, 0, 0, 0, 0]"
100,72,69,3,4.17,0.0,0.0,33.33,66.67,0.0,0.0,7.69,28.57,7.38,7.23,7.26,8.17,6.86,"[0, 0, 0, 0, 0, 0]"
100,76,73,3,3.95,0.0,33.33,0.0,66.67,0.0,3.45,0.0,25.0,8.58,7.82,9.59,7.8,8.79,"[0, 0, 0, 0, 0, 0]"
100,78,76,2,2.56,0.0,0.0,0.0,100.0,0.0,0.0,0.0,18.18,8.93,8.36,8.42,9.73,10.02,"[0, 0, 0, 0, 0, 0]"
100,82,72,10,12.2,10.0,20.0,50.0,20.0,3.85,7.14,27.78,20.0,10.11,8.64,10.59,12.37,9.45,"[0, 0, 0, 0, 0, 0]"
100,86,77,9,10.47,11.11,11.11,22.22,55.56,3.33,4.17,11.76,33.33,9.24,8.53,10.04,9.51,9.01,"[0, 0, 0, 0, 0, 0]"
100,94,86,8,8.51,0.0,0.0,12.5,87.5,0.0,0.0,7.14,33.33,10.95,10.69,10.84,12.36,10.48,"[0, 0, 0, 0, 0, 0]"
100,87,75,12,13.79,8.33,16.67,41.67,33.33,4.55,11.11,20.0,18.18,11.65,11.54,10.8,13.01,11.02,"[0, 0, 0, 0, 0, 0]"
100,81,77,4,4.94,0.0,25.0,25.0,50.0,0.0,5.0,7.69,14.29,9.21,8.78,8.31,9.61,11.47,"[0, 0, 0, 0, 0, 0]"
100,78,75,3,3.85,0.0,0.0,33.33,66.67,0.0,0.0,5.56,16.67,9.37,8.98,8.99,10.56,9.2,"[0, 0, 0, 0, 0, 0]"
100,76,71,5,6.58,0.0,0.0,40.0,60.0,0.0,0.0,8.7,21.43,9.89,9.26,9.24,10.34,11.28,"[0, 0, 0, 0, 0, 0]"
100,72,66,6,8.33,16.67,0.0,50.0,33.33,4.35,0.0,21.43,33.33,9.11,8.91,9.21,9.07,9.52,"[0, 0, 0, 0, 0, 0]"
100,74,71,3,4.05,0.0,33.33,66.67,0.0,0.0,4.0,10.0,0.0,8.8,9.29,9.48,7.34,8.56,"[0, 0, 0, 0, 0, 0]"
100,71,70,1,1.41,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.09,8.33,7.11,7.49,10.74,9.47,"[0, 0, 0, 0, 0, 0]"
100,74,71,3,4.05,0.0,0.0,33.33,66.67,0.0,0.0,5.26,22.22,8.69,7.74,8.88,8.62,11.21,"[0, 0, 0, 0, 0, 0]"
100,85,77,8,9.41,0.0,25.0,50.0,25.0,0.0,8.7,16.67,18.18,10.9,11.01,10.01,12.03,10.14,"[0, 0, 0, 0, 0, 0]"
100,75,69,6,8.0,16.67,16.67,33.33,33.33,5.0,4.55,10.0,15.38,9.12,7.67,8.86,9.63,11.31,"[0, 0, 0, 0, 0, 0]"
100,83,82,1,1.2,0.0,0.0,100.0,0.0,0.0,0.0,5.88,0.0,8.51,8.18,8.25,9.17,9.28,"[0, 0, 0, 0, 0, 0]"
100,78,75,3,3.85,0.0,0.0,33.33,66.67,0.0,0.0,5.88,16.67,8.04,8.09,7.26,8.61,8.43,"[0, 0, 0, 0, 0, 0]"
100,81,69,12,14.81,0.0,33.33,25.0,41.67,0.0,18.18,15.79,41.67,10.7,11.51,9.28,11.74,8.77,"[0, 0, 0, 0, 0, 0]"
100,81,79,2,2.47,0.0,50.0,0.0,50.0,0.0,3.85,0.0,6.67,8.7,8.21,9.02,8.59,9.19,"[0, 0, 0, 0, 0, 0]"
100,74,72,2,2.7,0.0,0.0,100.0,0.0,0.0,0.0,10.53,0.0,8.62,8.65,8.74,7.39,10.53,"[0, 0, 0, 0, 0, 0]"
100,72,71,1,1.39,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12.5,8.25,7.52,8.9,7.64,10.68,"[0, 0, 0, 0, 0, 0]"
100,87,79,8,9.2,0.0,0.0,62.5,37.5,0.0,0.0,15.62,18.75,10.1,9.36,10.22,10.11,10.83,"[0, 0, 0, 0, 0, 0]"
100,77,75,2,2.6,0.0,50.0,0.0,50.0,0.0,3.85,0.0,20.0,8.7,7.37,9.88,8.88,10.14,"[0, 0, 0, 0, 0, 0]"
100,67,65,2,2.99,0.0,0.0,50.0,50.0,0.0,0.0,5.26,9.09,7.32,7.01,6.63,7.61,8.55,"[0, 0, 0, 0, 0, 0]"
100,90,75,15,16.67,6.67,6.67,33.33,53.33,4.0,3.33,29.41,44.44,12.01,12.32,11.38,12.28,12.78,"[0, 0, 0, 0, 0, 0]"
100,82,77,5,6.1,0.0,0.0,40.0,60.0,0.0,0.0,9.09,33.33,10.78,10.91,12.18,9.06,9.22,"[0, 0, 0, 0, 0, 0]"
100,71,69,2,2.82,0.0,0.0,50.0,50.0,0.0,0.0,6.67,8.33,8.86,6.74,9.5,10.11,10.25,"[0, 0, 0, 0, 0, 0]"
100,76,71,5,6.58,0.0,0.0,40.0,60.0,0.0,0.0,14.29,21.43,10.83,10.47,10.43,12.38,10.81,"[0, 0, 0, 0, 0, 0]"
100,77,73,4,5.19,0.0,50.0,25.0,25.0,0.0,7.41,6.67,11.11,8.82,8.14,8.45,9.76,10.55,"[0, 0, 0, 0, 0, 0]"
100,80,80,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,8.54,6.94,8.33,9.78,9.54,"[0, 0, 0, 0, 0, 0]"
100,86,77,9,10.47,0.0,22.22,11.11,66.67,0.0,8.33,5.56,35.29,10.56,11.64,8.6,11.54,10.32,"[0, 0, 0, 0, 0, 0]"
100,83,73,10,12.05,0.0,20.0,50.0,30.0,0.0,7.14,25.0,20.0,11.56,10.73,12.11,12.94,10.06,"[0, 0, 0, 0, 0, 0]"
100,94,87,7,7.45,28.57,28.57,0.0,42.86,6.25,6.06,0.0,20.0,10.8,10.85,10.91,10.91,10.24,"[0, 0, 0, 0, 0, 0]"
100,85,82,3,3.53,0.0,0.0,0.0,100.0,0.0,0.0,0.0,18.75,9.68,8.11,10.02,10.77,9.93,"[0, 0, 0, 0, 0, 0]"
100,83,71,12,14.46,0.0,0.0,16.67,83.33,0.0,0.0,10.53,58.82,10.32,7.98,9.15,13.82,12.52,"[0, 0, 0, 0, 0, 0]"
100,79,78,1,1.27,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.09,9.44,8.99,9.16,11.14,8.79,"[0, 0, 0, 0, 0, 0]"
100,85,72,13,15.29,7.69,15.38,38.46,38.46,3.85,8.33,22.73,38.46,10.72,10.25,9.45,11.63,13.77,"[0, 0, 0, 0, 0, 0]"
100,79,75,4,5.06,0.0,0.0,25.0,75.0,0.0,0.0,5.56,27.27,8.93,8.28,8.43,10.3,9.61,"[0, 0, 0, 0, 0, 0]"
100,72,67,5,6.94,0.0,0.0,60.0,40.0,0.0,0.0,14.29,33.33,9.28,8.44,9.95,9.74,8.79,"[0, 0, 0, 0, 0, 0]"
100,76,71,5,6.58,0.0,20.0,40.0,40.0,0.0,3.7,12.5,16.67,10.86,10.28,11.33,11.62,9.79,"[0, 0, 0, 0, 0, 0]"
100,80,66,14,17.5,7.14,14.29,28.57,50.0,4.0,10.0,23.53,38.89,10.14,9.22,10.12,12.39,9.49,"[0, 0, 0, 0, 0, 0]"
100,76,71,5,6.58,0.0,20.0,20.0,60.0,0.0,4.0,5.56,25.0,8.89,7.77,9.73,10.14,6.86,"[0, 0, 0, 0, 0, 0]"
100,81,74,7,8.64,0.0,0.0,57.14,42.86,0.0,0.0,16.0,30.0,8.54,8.31,9.03,8.02,9.3,"[0, 0, 0, 0, 0, 0]"
100,92,88,4,4.35,25.0,0.0,50.0,25.0,3.03,0.0,9.09,6.67,9.85,9.18,10.21,10.09,10.47,"[0, 0, 0, 0, 0, 0]"
100,78,74,4,5.13,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.0,9.42,7.67,10.22,9.99,11.55,"[0, 0, 0, 0, 0, 0]"
